customer_id,gender,age,tenure_months,contract,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,churn
100022,Male,25.0,39,Two year,Fiber optic,Bank transfer,Yes,122.24,4804.04,No
100023,Male,42.0,35,Month-to-month,DSL,Bank transfer,No,58.96,2097.02,No
100024,Female,23.0,25,Month-to-month,DSL,Mailed check,Yes,87.82,2383.06,No
100025,Female,45.0,31,One year,No,Electronic check,Yes,99.96,3094.79,No
100026,Female,73.0,18,Month-to-month,DSL,Bank transfer,No,57.56,1050.83,No
100027,Male,57.0,22,Month-to-month,Fiber optic,Mailed check,Yes,121.74,2687.71,No
100028,Female,48.0,55,One year,DSL,Credit card,Yes,99.88,5316.46,Yes
100029,Female,38.0,64,One year,Fiber optic,Electronic check,No,52.95,3397.17,No
100030,Male,18.0,62,Month-to-month,Fiber optic,Electronic check,No,123.87,7771.4,No
100031,Male,22.0,24,One year,No,Bank transfer,Yes,42.26,1060.57,No
100032,Male,56.0,24,One year,Fiber optic,Mailed check,Yes,66.81,1739.44,Yes
100033,Male,29.0,5,Two year,DSL,Mailed check,Yes,89.09,516.15,No
100034,Female,30.0,20,Month-to-month,DSL,Bank transfer,No,98.04,2005.98,Yes
100035,Female,37.0,43,One year,DSL,Bank transfer,No,74.47,3282.21,No
100036,Male,25.0,20,One year,Fiber optic,Mailed check,No,68.25,1397.83,No
100037,Female,23.0,53,Month-to-month,No,Electronic check,Yes,65.5,3446.24,Yes
100038,Female,38.0,4,One year,DSL,Bank transfer,Yes,62.54,238.59,No
100039,Male,27.0,30,One year,Fiber optic,Mailed check,Yes,105.03,2936.43,No
100040,Female,29.0,21,Month-to-month,Fiber optic,Bank transfer,Yes,73.85,1694.41,Yes
100041,Male,29.0,36,Month-to-month,Fiber optic,Bank transfer,Yes,67.7,2419.35,No
100042,Female,46.0,2,Month-to-month,Fiber optic,Mailed check,Yes,47.07,20.0,Yes
100043,Female,36.0,31,One year,Fiber optic,Electronic check,No,69.14,2110.37,Yes
100044,Male,37.0,57,Month-to-month,DSL,Electronic check,Yes,69.04,4093.42,No
100045,Male,47.0,62,Month-to-month,Fiber optic,Electronic check,No,55.74,3462.35,No
100046,Female,37.0,19,Month-to-month,Fiber optic,Bank transfer,Yes,40.38,790.35,Yes
100047,Male,35.0,31,One year,Fiber optic,Bank transfer,No,108.5,3551.26,Yes
100048,Female,45.0,50,One year,DSL,Credit card,Yes,46.99,2424.69,No
100049,Female,48.0,34,Month-to-month,Fiber optic,Mailed check,Yes,51.27,1717.24,No
100050,Female,37.0,40,Month-to-month,No,Bank transfer,Yes,111.24,4296.61,No
100051,Female,40.0,25,Month-to-month,Fiber optic,Bank transfer,No,105.22,2688.01,No
100052,Male,29.0,61,Month-to-month,DSL,Mailed check,Yes,97.64,5895.0,No
100053,Male,28.0,46,One year,No,Bank transfer,No,84.63,3952.37,No
100054,Male,49.0,70,Month-to-month,DSL,Mailed check,Yes,104.78,7330.26,No
100055,Male,45.0,57,One year,Fiber optic,Mailed check,Yes,106.09,6083.92,No
100056,Male,45.0,27,One year,DSL,Credit card,No,63.39,1792.16,No
100057,Female,43.0,24,Two year,No,Mailed check,No,45.37,933.25,No
100058,Male,40.0,7,Month-to-month,DSL,Electronic check,Yes,39.92,291.03,No
100059,Female,48.0,45,Month-to-month,Fiber optic,Mailed check,Yes,80.51,3621.31,No
100060,Female,51.0,54,Month-to-month,No,Credit card,Yes,44.5,2428.91,No
100061,Female,51.0,26,Two year,Fiber optic,Electronic check,No,64.06,1710.96,No
100062,Female,38.0,2,One year,DSL,Credit card,No,68.19,150.06,No
100063,Male,57.0,60,One year,DSL,Credit card,No,106.95,6358.69,No
100064,Female,42.0,17,One year,DSL,Mailed check,No,34.24,480.43,No
100065,Male,47.0,42,Month-to-month,DSL,Electronic check,No,72.74,2912.19,No
100066,Male,43.0,4,One year,Fiber optic,Electronic check,No,52.71,221.61,No
100067,Female,42.0,5,One year,Fiber optic,Electronic check,Yes,70.09,397.85,Yes
100068,Male,29.0,65,Month-to-month,No,Mailed check,Yes,95.25,6160.47,No
100069,Male,,49,Two year,Fiber optic,Bank transfer,Yes,62.79,3151.48,Yes
100070,Male,75.0,1,Two year,No,Credit card,Yes,65.42,55.12,Yes
100071,Female,34.0,8,Two year,Fiber optic,Electronic check,Yes,87.53,692.53,No
100072,Male,40.0,36,One year,Fiber optic,Mailed check,No,101.53,3525.64,No
100073,Male,33.0,49,Month-to-month,Fiber optic,Mailed check,No,70.3,3404.8,No
100074,Male,33.0,31,One year,Fiber optic,Mailed check,No,115.52,3663.98,No
100075,Female,59.0,63,Month-to-month,DSL,,No,60.87,3960.59,No
100076,Male,30.0,47,One year,No,Credit card,No,84.11,3936.04,No
100077,Male,33.0,45,Month-to-month,Fiber optic,Mailed check,Yes,79.25,3644.29,No
100078,Male,18.0,21,Two year,DSL,Electronic check,Yes,90.52,2028.22,No
100079,Female,29.0,50,Month-to-month,Fiber optic,Bank transfer,No,134.69,6650.14,No
100080,Female,18.0,63,Month-to-month,DSL,Electronic check,Yes,65.06,4127.35,No
100081,Female,47.0,4,Month-to-month,Fiber optic,Credit card,No,83.6,351.53,Yes
100082,Male,75.0,53,One year,Fiber optic,Credit card,Yes,73.2,3976.35,Yes
100083,Male,34.0,64,Month-to-month,No,Electronic check,Yes,57.35,3595.24,Yes
100084,Female,18.0,32,Month-to-month,Fiber optic,Mailed check,Yes,66.52,2157.05,No
100085,Female,51.0,56,Month-to-month,Fiber optic,Bank transfer,No,83.53,4654.43,No
100086,Female,30.0,26,Month-to-month,Fiber optic,Mailed check,No,64.58,1717.33,No
100087,Male,56.0,14,Two year,No,Mailed check,Yes,53.33,856.55,No
100088,Male,35.0,59,Month-to-month,Fiber optic,Credit card,Yes,32.0,2020.96,No
100089,Female,31.0,23,Month-to-month,Fiber optic,Electronic check,No,118.62,2838.98,No
100090,Female,37.0,55,Month-to-month,Fiber optic,Mailed check,Yes,125.1,6791.38,Yes
100091,Male,49.0,23,Month-to-month,Fiber optic,Electronic check,No,100.22,2262.5,Yes
100092,Female,36.0,29,Month-to-month,Fiber optic,Electronic check,No,62.15,1892.92,No
100093,Female,33.0,50,Month-to-month,No,Credit card,No,40.41,2074.93,No
100094,Male,36.0,25,Month-to-month,Fiber optic,Bank transfer,Yes,44.89,1098.61,Yes
100095,Female,22.0,59,Month-to-month,Fiber optic,Bank transfer,No,99.98,5816.34,No
100096,Male,44.0,3,Month-to-month,DSL,Electronic check,No,103.63,20.0,Yes
100097,Male,18.0,1,One year,DSL,Credit card,Yes,76.15,20.0,No
100098,Female,33.0,6,Month-to-month,DSL,Electronic check,No,93.45,533.21,Yes
100099,Female,49.0,19,One year,DSL,Mailed check,Yes,83.12,1553.15,No
100100,Male,43.0,4,One year,Fiber optic,Electronic check,No,64.73,295.92,No
100101,Female,47.0,28,Two year,Fiber optic,Mailed check,Yes,109.24,3112.87,No
100102,Male,38.0,2,Month-to-month,Fiber optic,Mailed check,Yes,107.64,418.59,Yes
100103,Female,54.0,55,One year,Fiber optic,Electronic check,Yes,59.24,3188.92,No
100104,Male,51.0,12,Two year,DSL,Mailed check,No,92.18,930.55,Yes
100105,Female,45.0,70,Two year,Fiber optic,Mailed check,Yes,80.31,5538.1,No
100106,Female,51.0,62,One year,DSL,Bank transfer,Yes,65.48,4210.67,No
100107,Female,49.0,50,Month-to-month,DSL,Mailed check,Yes,81.77,4089.66,No
100108,Female,33.0,58,Two year,No,Credit card,No,80.99,4788.53,No
100109,Male,22.0,56,Two year,DSL,Electronic check,Yes,94.22,5225.66,No
100110,Female,44.0,61,Month-to-month,Fiber optic,Electronic check,Yes,62.77,3783.84,No
100111,Male,46.0,40,Month-to-month,Fiber optic,Electronic check,Yes,98.14,3771.32,No
100112,Female,53.0,45,Two year,Fiber optic,Electronic check,No,55.0,2445.23,No
100113,Female,27.0,34,Month-to-month,Fiber optic,Mailed check,No,79.53,2705.0,No
100114,Male,27.0,45,One year,Fiber optic,Electronic check,No,81.2,3732.08,No
100115,Female,45.0,28,Month-to-month,Fiber optic,Electronic check,Yes,108.25,3081.49,No
100116,Female,38.0,9,One year,Fiber optic,Electronic check,Yes,84.23,936.91,No
100117,Male,18.0,68,Month-to-month,No,Mailed check,Yes,65.45,4436.76,No
100118,Male,44.0,51,One year,DSL,Bank transfer,Yes,107.65,5511.98,No
100119,Male,18.0,51,Month-to-month,Fiber optic,Mailed check,Yes,73.28,3735.88,No
100120,Male,27.0,21,Two year,DSL,Credit card,Yes,60.22,1202.06,No
100121,Male,57.0,56,Month-to-month,DSL,Electronic check,No,25.09,1441.91,No
100122,Female,63.0,38,Month-to-month,No,Mailed check,No,66.58,2505.23,Yes
100123,Female,23.0,6,Month-to-month,Fiber optic,Electronic check,Yes,60.51,512.75,Yes
100124,Male,35.0,69,Month-to-month,DSL,Credit card,No,65.73,4464.32,No
100125,Female,40.0,72,Two year,Fiber optic,Electronic check,No,90.0,6449.42,No
100126,Female,62.0,63,Month-to-month,DSL,Credit card,No,44.87,2714.87,No
100127,Male,33.0,35,Month-to-month,Fiber optic,Bank transfer,Yes,63.43,2250.5,No
100128,Female,33.0,17,One year,Fiber optic,Mailed check,Yes,44.01,628.69,No
100129,Female,59.0,1,Month-to-month,No,Mailed check,Yes,59.25,58.52,No
100130,Female,34.0,54,Month-to-month,DSL,Electronic check,Yes,48.39,2507.85,No
100131,Female,48.0,65,One year,Fiber optic,Electronic check,Yes,137.6,8855.47,Yes
100132,Female,20.0,8,Month-to-month,No,Credit card,Yes,109.6,807.96,No
100133,Male,37.0,50,Two year,No,Bank transfer,Yes,105.55,5343.16,No
100134,Female,18.0,2,One year,DSL,Electronic check,No,39.63,70.75,No
100135,Female,25.0,56,Month-to-month,Fiber optic,Electronic check,Yes,79.57,4444.87,No
100136,Male,50.0,3,One year,No,Electronic check,Yes,41.92,176.38,No
100137,Female,38.0,71,Two year,Fiber optic,Bank transfer,Yes,130.07,9175.56,No
100138,Male,35.0,13,Month-to-month,Fiber optic,Mailed check,Yes,104.78,1185.22,No
100139,Male,29.0,29,One year,Fiber optic,Bank transfer,Yes,57.69,1574.11,No
100140,Male,36.0,51,Month-to-month,No,Electronic check,No,81.24,4117.51,No
100141,Female,43.0,61,Month-to-month,Fiber optic,Credit card,Yes,46.94,2858.93,No
100142,Male,52.0,27,One year,DSL,Electronic check,Yes,68.59,1902.22,No
100143,Male,18.0,71,Month-to-month,Fiber optic,Electronic check,Yes,79.61,5639.24,No
100144,Male,28.0,2,Month-to-month,Fiber optic,Credit card,Yes,102.49,296.5,Yes
100145,Female,41.0,34,Month-to-month,Fiber optic,Bank transfer,Yes,108.7,3728.34,Yes
100146,Female,38.0,72,One year,DSL,Mailed check,No,72.51,5093.99,No
100147,Male,44.0,20,One year,Fiber optic,Credit card,Yes,78.4,1338.74,No
100148,Male,42.0,39,Month-to-month,Fiber optic,Electronic check,Yes,32.0,1157.33,Yes
100149,Female,35.0,33,Month-to-month,No,Electronic check,No,111.05,3677.06,No
100150,Male,32.0,29,Two year,Fiber optic,Electronic check,No,67.56,1992.63,No
100151,Female,36.0,56,Month-to-month,Fiber optic,Electronic check,No,86.55,4837.31,No
100152,Male,54.0,38,Month-to-month,Fiber optic,Bank transfer,Yes,140.48,5349.06,Yes
100153,Female,29.0,52,Month-to-month,DSL,Mailed check,Yes,42.15,2310.65,No
100154,Male,38.0,38,One year,Fiber optic,Mailed check,Yes,84.53,3213.4,No
100155,Male,41.0,72,Month-to-month,DSL,Bank transfer,Yes,84.42,6109.73,No
100156,Female,59.0,34,Two year,Fiber optic,Electronic check,Yes,111.31,3928.23,No
100157,Male,35.0,58,One year,Fiber optic,Electronic check,No,84.03,4710.72,No
100158,Female,51.0,45,Month-to-month,DSL,Mailed check,Yes,101.39,4716.42,No
100159,Female,55.0,58,One year,Fiber optic,Bank transfer,Yes,73.61,4039.06,No
100160,Female,38.0,64,Month-to-month,No,Mailed check,Yes,85.59,5403.42,No
100161,Female,36.0,17,Month-to-month,DSL,Credit card,No,82.35,1349.63,No
100162,Female,35.0,22,One year,No,Credit card,Yes,69.72,1386.84,No
100163,Male,36.0,22,Month-to-month,DSL,Bank transfer,Yes,80.09,1747.14,Yes
100164,Male,50.0,36,Two year,DSL,Bank transfer,No,50.14,1800.43,No
100165,Male,42.0,36,One year,Fiber optic,Mailed check,Yes,76.53,2821.68,No
100166,Female,42.0,1,Month-to-month,DSL,Credit card,No,39.83,103.53,Yes
100167,Male,24.0,65,Two year,No,Mailed check,Yes,60.96,3978.02,No
100168,Male,26.0,62,Month-to-month,Fiber optic,Electronic check,No,112.45,7072.56,Yes
100169,Male,67.0,44,Month-to-month,Fiber optic,Electronic check,Yes,94.51,4216.48,No
100170,Male,37.0,23,Month-to-month,Fiber optic,Credit card,Yes,91.7,2079.86,Yes
100171,Male,29.0,60,Two year,Fiber optic,Electronic check,Yes,44.03,2652.52,No
100172,Male,58.0,20,Month-to-month,Fiber optic,Bank transfer,No,92.0,1782.79,No
100173,Female,43.0,23,Month-to-month,Fiber optic,Credit card,Yes,82.43,1785.6,No
100174,Female,47.0,72,Month-to-month,No,Mailed check,No,85.44,6190.19,No
100175,Female,37.0,67,Month-to-month,Fiber optic,Electronic check,Yes,118.58,7809.96,No
100176,Male,35.0,43,Month-to-month,Fiber optic,Electronic check,No,73.78,3155.67,Yes
100177,Female,37.0,13,One year,Fiber optic,Mailed check,Yes,76.11,782.61,No
100178,Male,21.0,9,Two year,Fiber optic,Bank transfer,Yes,106.95,968.94,No
100179,Female,38.0,70,One year,DSL,Electronic check,Yes,56.91,3918.27,No
100180,Female,43.0,20,Month-to-month,Fiber optic,Mailed check,Yes,86.18,1774.74,No
100181,Female,63.0,50,Month-to-month,Fiber optic,Mailed check,No,34.09,1684.48,No
100182,Male,40.0,26,Month-to-month,DSL,Electronic check,No,64.3,1660.32,No
100183,Male,18.0,36,Month-to-month,No,Electronic check,Yes,104.63,3771.38,Yes
100184,Female,38.0,71,One year,Fiber optic,Electronic check,No,92.39,6504.66,No
100185,Male,75.0,43,Month-to-month,DSL,Credit card,Yes,94.49,4012.08,Yes
100186,Male,50.0,32,Two year,No,Electronic check,No,95.91,3018.17,No
100187,Male,28.0,30,Month-to-month,No,Electronic check,No,105.73,3160.63,No
100188,Male,47.0,17,One year,No,Mailed check,Yes,63.32,1026.31,No
100189,Male,29.0,41,Two year,DSL,Bank transfer,Yes,95.56,3958.5,No
100190,Male,21.0,42,One year,Fiber optic,Bank transfer,No,140.19,5728.7,No
100191,Female,34.0,7,Two year,Fiber optic,Mailed check,Yes,83.34,448.46,No
100192,Female,40.0,30,One year,Fiber optic,Mailed check,Yes,51.01,1700.27,Yes
100193,Female,18.0,47,One year,Fiber optic,Bank transfer,No,,3210.04,Yes
100194,Male,24.0,4,Month-to-month,Fiber optic,Credit card,Yes,95.71,291.52,Yes
100195,Female,39.0,71,Month-to-month,Fiber optic,Bank transfer,Yes,42.46,3012.37,No
100196,Male,34.0,62,Two year,No,Bank transfer,No,52.95,3351.94,No
100197,Male,44.0,46,Month-to-month,Fiber optic,Electronic check,No,75.76,3542.65,No
100198,Male,23.0,2,Two year,No,Mailed check,Yes,74.75,82.16,No
100199,Male,48.0,38,Month-to-month,Fiber optic,Credit card,Yes,128.91,4852.44,No
100200,Female,24.0,65,One year,DSL,Electronic check,No,89.2,5767.96,Yes
100201,Male,60.0,2,Month-to-month,Fiber optic,Electronic check,Yes,56.15,140.32,Yes
100202,Female,18.0,58,Two year,DSL,Bank transfer,Yes,150.0,8704.09,No
100203,Male,25.0,61,Month-to-month,DSL,Credit card,Yes,71.59,4284.46,No
100204,Female,44.0,6,Month-to-month,No,Electronic check,No,29.99,134.08,No
100205,Male,61.0,17,Two year,Fiber optic,Credit card,Yes,58.04,962.8,No
100206,Male,43.0,53,Month-to-month,Fiber optic,Electronic check,Yes,58.19,3217.45,No
100207,Female,46.0,66,Month-to-month,No,Credit card,Yes,38.3,2511.84,No
100208,Female,39.0,56,Two year,Fiber optic,Credit card,Yes,96.82,5719.7,No
100209,Male,26.0,38,Two year,DSL,Bank transfer,Yes,20.0,735.77,No
100210,Female,33.0,44,Month-to-month,DSL,Credit card,Yes,96.56,4097.16,No
100211,Male,23.0,38,One year,Fiber optic,Credit card,Yes,104.36,3997.29,No
100212,Female,22.0,42,Month-to-month,DSL,Credit card,Yes,60.59,2639.03,No
100213,Female,44.0,56,Month-to-month,DSL,Mailed check,Yes,94.89,5356.6,No
100214,Male,24.0,4,One year,Fiber optic,Mailed check,No,56.68,244.42,No
100215,Female,43.0,16,Month-to-month,DSL,Electronic check,No,50.94,780.87,No
100216,Male,22.0,5,Month-to-month,Fiber optic,Electronic check,Yes,97.74,463.05,No
100217,Male,43.0,58,Month-to-month,DSL,Bank transfer,Yes,66.76,3662.61,No
100218,Male,33.0,53,Two year,Fiber optic,Electronic check,Yes,68.37,3700.92,No
100219,Male,57.0,4,Month-to-month,Fiber optic,Credit card,Yes,81.16,290.52,No
100220,Female,43.0,8,Month-to-month,Fiber optic,Electronic check,No,116.97,1038.93,Yes
100221,Male,55.0,20,Two year,DSL,Electronic check,Yes,104.0,2032.07,No
100222,Male,29.0,18,Two year,DSL,Electronic check,No,82.65,1482.89,No
100223,Female,40.0,38,Month-to-month,DSL,Electronic check,Yes,63.11,2510.61,No
100224,Male,26.0,36,Two year,DSL,Electronic check,Yes,85.04,3181.67,Yes
100225,Female,34.0,26,Month-to-month,Fiber optic,Mailed check,Yes,62.44,1699.15,Yes
100226,Male,36.0,12,Month-to-month,DSL,Electronic check,Yes,101.22,1046.24,Yes
100227,Female,30.0,47,Month-to-month,DSL,Credit card,No,95.76,4385.79,No
100228,Female,23.0,57,Month-to-month,DSL,Mailed check,Yes,120.29,6919.63,No
100229,Female,21.0,47,One year,Fiber optic,Bank transfer,No,63.95,2942.79,No
100230,Male,18.0,59,Month-to-month,Fiber optic,Bank transfer,Yes,60.84,3596.2,No
100231,Male,25.0,66,Two year,Fiber optic,Electronic check,Yes,97.78,6472.15,No
100232,Female,47.0,61,Month-to-month,Fiber optic,Electronic check,Yes,77.16,4729.82,No
100233,Male,18.0,47,Month-to-month,Fiber optic,Credit card,Yes,108.98,5027.04,Yes
100234,Female,21.0,4,Month-to-month,DSL,Bank transfer,Yes,104.94,511.82,No
100235,Male,62.0,25,Month-to-month,Fiber optic,Electronic check,Yes,126.57,3117.05,Yes
100236,Female,31.0,31,Two year,Fiber optic,Bank transfer,No,85.46,2702.35,No
100237,Female,43.0,52,One year,Fiber optic,Electronic check,Yes,106.01,5493.87,No
100238,Male,47.0,61,One year,DSL,Electronic check,Yes,59.08,3776.76,No
100239,Male,48.0,47,One year,No,Electronic check,No,77.43,3769.58,No
100240,Female,19.0,27,Month-to-month,Fiber optic,Bank transfer,Yes,82.66,2423.66,Yes
100241,Male,36.0,57,Month-to-month,DSL,Mailed check,No,69.33,4100.56,No
100242,Female,18.0,51,Month-to-month,No,Mailed check,No,117.6,5985.51,No
100243,Male,71.0,58,Two year,DSL,Electronic check,Yes,38.45,2182.04,No
100244,Female,18.0,43,Month-to-month,DSL,Electronic check,No,71.88,2988.65,No
100245,Female,25.0,47,Month-to-month,DSL,Electronic check,Yes,73.34,3470.94,Yes
100246,Male,25.0,25,One year,No,Mailed check,Yes,88.08,2204.19,No
100247,Female,20.0,29,Month-to-month,DSL,Credit card,Yes,44.57,1288.66,No
100248,Male,57.0,20,Month-to-month,Fiber optic,Bank transfer,No,76.53,1455.98,Yes
100249,Female,70.0,19,Month-to-month,Fiber optic,Electronic check,Yes,69.11,1345.58,No
100250,Male,33.0,47,Month-to-month,Fiber optic,Electronic check,Yes,32.0,1469.63,No
100251,Male,22.0,28,Month-to-month,Fiber optic,Electronic check,Yes,113.06,3122.25,Yes
100252,Male,18.0,10,Two year,DSL,Credit card,Yes,35.25,367.25,No
100253,Male,36.0,3,One year,Fiber optic,Mailed check,Yes,43.92,124.75,No
100254,Male,35.0,62,Month-to-month,Fiber optic,Credit card,Yes,107.69,6548.42,No
100255,Female,31.0,32,One year,Fiber optic,Electronic check,No,75.63,2349.27,No
100256,Male,42.0,42,One year,DSL,Mailed check,No,64.49,2756.51,No
100257,Female,44.0,66,One year,Fiber optic,Mailed check,No,76.97,5075.72,No
100258,Male,43.0,9,Two year,Fiber optic,Bank transfer,Yes,110.86,822.91,No
100259,Male,35.0,68,One year,Fiber optic,Mailed check,Yes,70.2,4836.49,No
100260,Female,25.0,51,Month-to-month,Fiber optic,Electronic check,Yes,98.88,5038.43,Yes
100261,Female,48.0,47,Month-to-month,DSL,Mailed check,Yes,43.47,1947.53,No
100262,Male,39.0,32,Month-to-month,Fiber optic,Credit card,Yes,92.25,2891.8,Yes
100263,Male,51.0,51,Month-to-month,DSL,Electronic check,Yes,94.57,4837.94,Yes
100264,Female,49.0,15,Two year,Fiber optic,Bank transfer,No,119.13,1588.17,No
100265,Female,21.0,22,One year,DSL,Credit card,Yes,33.27,769.79,No
100266,Female,,70,Month-to-month,DSL,Mailed check,Yes,64.58,4609.41,No
100267,Male,29.0,20,Two year,DSL,Mailed check,Yes,111.96,2319.35,No
100268,Male,25.0,52,One year,DSL,Electronic check,Yes,95.05,5046.48,No
100269,Female,49.0,67,Month-to-month,Fiber optic,Bank transfer,Yes,79.02,5224.15,No
100270,Female,44.0,43,Two year,Fiber optic,Credit card,No,84.1,3709.36,No
100271,Male,53.0,22,Month-to-month,Fiber optic,Credit card,Yes,91.43,2035.97,Yes
100272,Male,44.0,62,Month-to-month,Fiber optic,Electronic check,Yes,74.68,4554.98,No
100273,Male,42.0,60,Month-to-month,Fiber optic,Credit card,Yes,97.68,5902.81,No
100274,Female,55.0,40,Two year,Fiber optic,Electronic check,Yes,96.26,3889.68,No
100275,Male,45.0,9,Month-to-month,No,Bank transfer,No,44.13,535.82,No
100276,Male,40.0,32,Month-to-month,Fiber optic,Electronic check,No,71.76,2404.07,Yes
100277,Male,58.0,32,One year,No,Electronic check,Yes,60.65,1878.65,No
100278,Female,40.0,14,Two year,No,Bank transfer,No,65.61,949.2,No
100279,Male,35.0,29,Month-to-month,No,Mailed check,Yes,78.75,2313.45,Yes
100280,Male,,12,Month-to-month,Fiber optic,Credit card,No,88.51,1084.74,Yes
100281,Male,48.0,50,Two year,Fiber optic,Electronic check,Yes,66.01,3273.06,No
100282,Male,55.0,32,One year,Fiber optic,Credit card,No,117.51,3918.24,No
100283,Female,38.0,53,Month-to-month,DSL,Mailed check,No,72.13,3766.81,No
100284,Male,56.0,33,Month-to-month,Fiber optic,Electronic check,Yes,120.59,4129.44,No
100285,Male,18.0,52,Month-to-month,No,Electronic check,Yes,108.0,5487.77,No
100286,Female,38.0,53,One year,Fiber optic,Bank transfer,Yes,57.52,3014.23,No
100287,Male,38.0,12,One year,DSL,Credit card,Yes,59.74,785.69,No
100288,Female,30.0,32,One year,Fiber optic,Electronic check,Yes,73.57,2259.49,Yes
100289,Female,70.0,54,Month-to-month,DSL,Mailed check,Yes,79.83,4244.67,Yes
100290,Male,38.0,43,Two year,Fiber optic,Mailed check,Yes,102.16,4441.03,Yes
100291,Female,34.0,16,Month-to-month,Fiber optic,Bank transfer,Yes,87.67,1247.17,Yes
100292,Male,39.0,60,Two year,Fiber optic,Bank transfer,No,70.23,4313.23,No
100293,Female,18.0,15,Month-to-month,Fiber optic,Credit card,Yes,125.29,2012.42,Yes
100294,Male,29.0,72,Month-to-month,DSL,Electronic check,Yes,61.04,4531.81,No
100295,Female,52.0,51,Month-to-month,Fiber optic,Electronic check,Yes,102.55,5259.35,No
100296,Female,31.0,24,Month-to-month,DSL,Electronic check,No,71.07,1667.18,No
100297,Female,28.0,15,Month-to-month,Fiber optic,Credit card,Yes,82.37,1202.93,No
100298,Male,56.0,65,One year,Fiber optic,Mailed check,Yes,100.84,6580.46,No
100299,Male,56.0,38,Two year,DSL,Electronic check,Yes,110.58,4213.7,No
100300,Male,46.0,59,Month-to-month,No,Bank transfer,Yes,79.62,4663.36,Yes
100301,Male,33.0,60,Month-to-month,Fiber optic,Mailed check,No,71.78,4449.36,No
100302,Female,36.0,5,Month-to-month,DSL,Electronic check,Yes,109.0,522.84,Yes
100303,Male,29.0,50,One year,Fiber optic,Electronic check,Yes,96.35,4946.86,No
100304,Female,26.0,25,Month-to-month,DSL,Bank transfer,Yes,76.26,1915.49,No
100305,Female,25.0,66,Month-to-month,DSL,Bank transfer,Yes,97.69,6450.95,No
100306,Male,31.0,16,Month-to-month,No,Electronic check,Yes,80.06,1327.58,No
100307,Male,26.0,3,Month-to-month,Fiber optic,Electronic check,Yes,145.42,481.72,Yes
100308,Female,19.0,48,One year,Fiber optic,Electronic check,No,84.05,4021.39,No
100309,Male,42.0,40,Month-to-month,Fiber optic,Bank transfer,Yes,112.74,4560.42,No
100310,Male,42.0,40,Month-to-month,No,Electronic check,Yes,83.05,3383.88,Yes
100311,Female,61.0,19,Two year,No,Electronic check,Yes,82.97,1725.22,No
100312,Female,30.0,36,Month-to-month,DSL,Electronic check,No,62.95,2272.62,No
100313,Male,43.0,70,One year,DSL,Credit card,Yes,63.07,4344.62,No
100314,Male,43.0,55,Month-to-month,Fiber optic,Mailed check,No,96.42,5242.11,No
100315,Male,36.0,71,Two year,Fiber optic,Electronic check,No,62.29,4635.7,No
100316,Female,49.0,24,One year,Fiber optic,Mailed check,No,69.61,1501.46,Yes
100317,Female,49.0,63,Month-to-month,DSL,Bank transfer,Yes,72.38,4452.85,No
100318,Female,43.0,28,Two year,Fiber optic,Credit card,No,115.01,3222.62,No
100319,Female,36.0,68,Month-to-month,DSL,Credit card,No,74.01,4977.32,No
100320,Female,34.0,63,Month-to-month,Fiber optic,Mailed check,Yes,85.62,5467.76,No
